Group,Family,Common Name,Scientific Name,Occurrence ,Habitat
Wrasses,Labridae,Indian Ocean bird wrasse,Gomphosus caeruleus,common,"Reef associated, near live corals"
Wrasses,Labridae,Checkerboard wrasse,Halichoeres hortulanus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Dusky wrasse,Halichoeres marginatus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Nebulous wrasse,Halichoeres nebulosus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Zigzag wrasse,Halichoeres scapularis,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Goldstripe wrasse,Halichoeres zeylonicus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Barred thicklip wrasse,Hemigymnus fasciatus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Ring wrasse,Hemigymnus melapterus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Longface wrasse,Hologymnosus doliatus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Tubelip wrasse,Labrichthys unilineatus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Bicolor cleaner wrasse,Labroides bicolor,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Bluestreak cleaner wrasse,Labroides dimidiatus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Vermiculate wrasse,Macropharyngodon bipartitus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Rockmover wrasse,Novaculichthys taeniourus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Twospot wrasse,Oxycheilinus bimaculatus,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Cheeklined wrasse,Oxycheilinus digramma,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Sixline wrasse,Pseudocheilinus hexataenia,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Bluelined wrasse,Stethojulis albovittata,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Cutribbon wrasse,Stethojulis interrupta,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Three-ribbon wrasse,Stethojulis strigiventer,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Twotone wrasse,Thalassoma amblycephalum,common,"Reef associated, near live corals"
Wrasses,Labridae,Sixbar wrasse,Thalassoma hardwicke,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Goldbar wrasse,Thalassoma hebraicum,common,"Reef associated, near live corals"
Wrasses,Labridae,Cresent wrasse,Thalassoma lunare,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Surge wrasse,Thalassoma purpureum,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Fivestripe wrasse,Thalassoma quinquevittatum,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Christmas wrasse,Thalassoma trilobatum,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Sharpnose albofasciata,Wetmorella nigropinnata,uncommon,"Reef associated, near live corals"
Wrasses,Labridae,Blue razonfish,Xyrichtys pavo,occasional,"Reef associated, near live corals"
Wrasses,Labridae,Fivefinger razorfish,Xyrichtys pentadactylus,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Carolines parrotfish,Calotomus carolinus,occasional, in shallow rubble and grass
Parrotfishes,Scaridae,Spinytooth parrotfish,Calotomus spinidens,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Bicolor parrotfish,Cetoscarus bicolor,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Bluemoon parrotfish,Chlorurus atrilunula,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Saddled parrotfish,Chlorurus cyanascens,uncommon,"Reef associated, near live corals"
Parrotfishes,Scaridae,Daisy parrotfish,Chlorurus sordidus,common,"Reef associated, near live corals"
Parrotfishes,Scaridae,Indian Ocean steephead parrotfish,Chlorurus strongylocephalus,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Indian Ocean Longnose parrotfish,Hipposcarus harid,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Marbled parrotfish,Leptoscarus vaigiensis,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Redbarred parrotfish,Scarus caudofasciatus,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Sicklefin parrotfish,Scarus falcipinnis,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Festive parrotfish,Scarus festivus,uncommon,"Reef associated, near live corals"
Parrotfishes,Scaridae,Bridled parrotfish,Scarus frenatus,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Bluebarred parrotfish,Scarus ghobban,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Violet-lined parrotfish,Scarus globiceps,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Swarthy parrotfish,Scarus niger,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Common parrotfish,Scarus psittacus,common,"Reef associated, near live corals"
Parrotfishes,Scaridae,Redlip parrotfish,Scarus rubroviolaceus,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Eclipse parrotfish,Scarus russelii,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Dusky-capped parrotfish,Scarus scaber,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Tricolour parrotfish,Scarus tricolor,occasional,"Reef associated, near live corals"
Parrotfishes,Scaridae,Greenlip parrotfish,Scarus viridifucatus,occasional,"Reef associated, near live corals"
Barracuda,Sphyraenidae,Great barracuda,Sphyraena barracuda,occasional,"Reef associated, near corals and along drop offs"
Barracuda,Sphyraenidae,Yellowtail barracuda,Sphyraena flavicauda,occasional,"Reef associated, near corals and along drop offs"
Mullets,Mugilidae,Squaretail mullet,Liza vaigiensis,occasional,Sand/rubble near coral
Sandperches,Pinguipedidae,Speckled sandperch,Parapercis hexopthalma,occasional,Sand/rubble near coral
Sandperches,Pinguipedidae,Spotted sandperch,Parapercis punctulata,occasional,Sand/rubble near coral
Sand-divers,Trichonotidae,Spotted sand-diver,Trichonotus setiger,uncommon,Sand/rubble near coral
Blennies,Blenniidae,Blackflap blenny,Cirripectes auritus,occasional,"Reef associated, near corals"
Blennies,Blenniidae,Chestnut eyelash-blenny,Cirripectes castaneus,occasional,"Reef associated, near corals"
Blennies,Blenniidae,Red-streaked blenny,Cirripectes stigmaticus,occasional,"Reef associated, near corals"
Blennies,Blenniidae,Bicolor blenny,Ecsenius bicolor,occasional,"Reef associated, near corals"
Blennies,Blenniidae,Midas blenny,Escenius midas,occasional,"Reef associated, near corals"
Blennies,Blenniidae,Leopard blenny,Exallias brevis,occasional,"Reef associated, near corals"
Blennies,Blenniidae,Blue-dashed rockskipper,Istiblennius periophthalmus,common,in reef flat and rubble habitat
Blennies,Blenniidae,Mozambique fangblenny,Meiacanthus mossambicus,occasional, in water column on shallow reef
Blennies,Blenniidae,Bluestriped fangblenny,Plagiotremus rhinorhynchos,occasional, in water column on shallow reef
Blennies,Blenniidae,Piano fangblenny,Plagiotremus tapeinosoma,occasional, in water column on shallow reef
Dartfishes,Microdesmidae,Fire dartfish,Nemateleotris magnifica,uncommon,"Reef associated, near corals and along drop offs"
Dartfishes,Microdesmidae,Blackfin dartfish,Ptereleotris evides,common,"Reef associated, near corals and along drop offs"
Dartfishes,Microdesmidae,Spot-tail dartfish,Ptereleotris heteroptera,occasional,"Reef associated, near corals and along drop offs"
Dartfishes,Microdesmidae,Pearly dartfish,Ptereleotris miicrolepis,occasional,"Reef associated, near corals and along drop offs"
Gobies,Gobiidae,Beautiful prawn-goby,Amblyeleotris aurora,occasional,Sand/rubble adjacent to coral reef
Gobies,Gobiidae,Spotted pygmy goby,Eviota guttata,occasional,Sand/rubble adjacent to coral reef
Gobies,Gobiidae,Eyebar goby,Gnatholepis cauerensis,occasional,Sand/rubble adjacent to coral reef
Gobies,Gobiidae,Decorated goby,Istigobius decoratus,occasional,Sand/rubble adjacent to coral reef
Gobies,Gobiidae,Ornate goby,Istigobius ornatus,occasional,Sand/rubble adjacent to coral reef
Gobies,Gobiidae,Graceful prawn-goby,Lotilia graciliosa,occasional,Sand/rubble adjacent to coral reef
Gobies,Gobiidae,Flagfin prawn-goby,Mahidolia mystacina,occasional,Sand/rubble adjacent to coral reef
Gobies,Gobiidae,Blackfin goby,Paragobiodon lacunicolus,occasional,Sand/rubble adjacent to coral reef
Gobies,Gobiidae,Twostripe goby,Valenciennea helsdingeni,occasional,Sand/rubble adjacent to coral reef
Gobies,Gobiidae,Longfinned goby,Valenciennea longipinnis,occasional,Sand/rubble adjacent to coral reef
Gobies,Gobiidae,Sixspot goby,Valenciennea sexguttata,occasional,Sand/rubble adjacent to coral reef
Gobies,Gobiidae,Blueband goby,Valenciennea strigata,occasional,Sand/rubble adjacent to coral reef
Moorish Idols,Zanclidae,Moorish idol,Zanclus cornutus,very common,"Reef associated, near corals"
Surgeonfishes,Acanthuridae,Orange-socket surgeonfish,Acanthurus auranticavus,occasional,in shallow water near reef edges
Surgeonfishes,Acanthuridae,Ringtail surgeonfish,Acanthurus blochii,common,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Eyestripe surgeonfish,Acanthurus dussumieri,occasional,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Palelipped surgeonfish,Acanthurus leuchocheilus,occasional,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Powderblue surgeonfish,Acanthurus leucosternon,common,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Lined surgeonfish,Acanthurus lineatus,common,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Elongate surgeonfish,Acanthurus mata,common,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Blackstreak surgeonfish,Acanthurus nigricauda,common,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Dusky surgeonfish,Acanthurus nigrofuscus,common,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Doubleband surgeonfish,Acanthurus tennentii,uncommon,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Convict surgeonfish,Acanthurus triostegus,common,Reef associated in shallow surge zones
Surgeonfishes,Acanthuridae,Yellowfin surgeonfish,Acanthurus xanthopterus,common,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Twospot surgeonfish,Ctenochaetus binotatus,common,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Striated surgeonfish,Ctenochaetus striatus,common,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Truncate bristletooth,Ctenochaetus truncatus,common,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Whitemargin unicornfish,Naso annulatus,uncommon,Juveniles in shallow lagoon habitat
Surgeonfishes,Acanthuridae,Humpback unicornfish,Naso brachycentron,occasional,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Spotted unicornfish,Naso brevirostris,occasional,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Sleek unicornfish,Naso hexacanthus,occasional,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Orangespine unicornfish,Naso lituratus,common,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Bluespine unicornfish,Naso unicornis,common,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Bignose unicornfish,Naso vlamingi,occasional,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Palette Surgeonfish,Paracanthurus hepatus,uncommon,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Desjardin's Tang,Zebrasoma desjardinii,common,"Reef associated, near corals and along drop offs"
Surgeonfishes,Acanthuridae,Brushtail Tang,Zebrasoma scopus,common,"Reef associated, near corals and along drop offs"
Rabbitfishes,Siganidae,Forktail rabbitfish,Siganus argenteus,common,Sand/rubble/seagrass adjacent to coral reef
Surgeonfishes,Siganidae,Brownspotted spinefoot,Siganus stellatus,occasional,Sand/rubble/seagrass adjacent to coral reef
Surgeonfishes,Siganidae,African Whitespotted rabbitfish,Siganus sutor,common,Sand/rubble/seagrass adjacent to coral reef
Surgeonfishes,Siganidae,Squaretail rabbitfish,Syganus luridus,occasional,Sand/rubble/seagrass adjacent to coral reef
Lefteye Flounders,Bothidae,Peacock flounder,Bothus mancus,occasional,"on bottom, usually with sand and rubble"
Lefteye Flounders,Bothidae,Leopard flounder,Bothus pantherinus,occasional,"on bottom, usually with sand and rubble"
Triggerfishes,Balistidae,Orangestriped triggerfish,Balistoides undulatus,common,"Reef associated, near corals"
Triggerfishes,Balistidae,Moustache triggerfish,Balistoides viridescens,occasional,"Reef associated, near corals"
Triggerfishes,Balistidae,Picassofish,Rhinecanthus aculeatus,occasional,in shallow water near reef edges
Triggerfishes,Balistidae,Wedge-tail triggerfish,Rhinecanthus rectangulus,common, in shallow surge zones
Triggerfishes,Balistidae,Bluethroat triggerfish,Sufflamen albicaudatus,common,"Reef associated, near corals"
Triggerfishes,Balistidae,Halfmoon triggerfish,Sufflamen chrysopterus,occasional,"Reef associated, near corals"
Triggerfishes,Balistidae,Masked triggerfish,Sufflamen fraenatum,occasional,"Reef associated, near corals"
Filefishes,Monacanthidae,Scribbled filefish,Aluterus scriptus,uncommon,"Reef associated, near corals"
Filefishes,Monacanthidae,Broom filefish,Amanses scopus,common,"Reef associated, near corals"
Filefishes,Monacanthidae,Barred filefish,Cantherhines dumerilii,occasional,"Reef associated, near corals"
Filefishes,Monacanthidae,Wire-net filefish,Cantherhines pardalis,occasional,"Reef associated, near corals"
Filefishes,Monacanthidae,Longnose filefish,Oxymonocanthus longirostris,common,"Reef associated, near corals"
Filefishes,Monacanthidae,Blacksaddle mimic,Paraluteres prionurus,uncommon,"Reef associated, near corals"
Filefishes,Monacanthidae,Blackbar filefish,Pervagor janthinosoma,uncommon,"Reef associated, near corals"
Trunkfishes,Ostraciidae,Yellow boxfish,Ostracion cubicus,occasional,"Reef associated, near corals"
Trunkfishes,Ostraciidae,Whitespotted boxfish,Ostracion meleagris,occasional,"Reef associated, near corals"
Puffers,Tetraodontidae,Immaculate puffer,Arothron immaculatus,occasional,"Reef associated, near corals and sand/rubble"
Puffers,Tetraodontidae,Map puffer,Arothron mappa,occasional,"Reef associated, near corals and sand/rubble"
Puffers,Tetraodontidae,Blackspotted puffer,Arothron nigropunctatus,occasional,"Reef associated, near corals and sand/rubble"
Puffers,Tetraodontidae,Star puffer,Arothron stellatus,occasional,"Reef associated, near corals and sand/rubble"
Puffers,Tetraodontidae,Bennett's sharpnose puffer,Canthigaster bennetti,common,"Reef associated, near corals and sand/rubble"
Puffers,Tetraodontidae,Honeycomb toby,Canthigaster janthinoptera,occasional,"Reef associated, near corals and sand/rubble"
Puffers,Tetraodontidae,Spotted puffer,Canthigaster solandri,common,"Reef associated, near corals and sand/rubble"
Puffers,Tetraodontidae,Black-saddled puffer,Canthigaster valentini,common,"Reef associated, near corals and sand/rubble"
Puffers,Tetraodontidae,Yellowspotted puffer,Torquigener flavimaculosus,uncommon,"Reef associated, near corals and sand/rubble"
Porcupinefishes,Diodontidae,Balloonfish,Diodon holcanthus,occasional,"Reef associated, near corals and sand/rubble"
Porcupinefishes,Diodontidae,Porcupine fish,Diodon hystrix,occasional,"Reef associated, near corals and sand/rubble"
Porcupinefishes,Diodontidae,Black blotched porcupinefish,Diodon liturosus,uncommon,"Reef associated, near corals and sand/rubble"
